amount,YEAR,MONTH,DAY
750.00,2023,3,1
692.66,2023,3,2
688.26,2023,3,3
688.26,2023,3,4
688.26,2023,3,5
632.72,2023,3,6
639.22,2023,3,7
582.38,2023,3,8
556.88,2023,3,9
534.88,2023,3,10
534.88,2023,3,11
534.88,2023,3,12
482.38,2023,3,13
732.69,2023,3,14
234.30,2023,3,15
301.30,2023,3,16
301.30,2023,3,17
301.30,2023,3,18
301.30,2023,3,19
230.75,2023,3,20
223.71,2023,3,21
223.71,2023,3,22
223.71,2023,3,23
225.71,2023,3,24
225.71,2023,3,25
225.71,2023,3,26
221.73,2023,3,27
221.73,2023,3,28
80.13,2023,3,29
80.13,2023,3,30
636.41,2023,3,31
517.29,2023,4,1
517.29,2023,4,2
692.66,2023,4,3
692.66,2023,4,4
692.66,2023,4,5
628.53,2023,4,6
628.53,2023,4,7
628.53,2023,4,8
628.53,2023,4,9
628.53,2023,4,10
600.70,2023,4,11
546.49,2023,4,12
533.51,2023,4,13
511.32,2023,4,14
511.32,2023,4,15
511.32,2023,4,16
530.46,2023,4,17
508.18,2023,4,18
508.18,2023,4,19
508.18,2023,4,20
487.18,2023,4,21
487.18,2023,4,22
487.18,2023,4,23
380.05,2023,4,24
152.32,2023,4,25
67.22,2023,4,26
65.22,2023,4,27
63.02,2023,4,28
508.21,2023,4,29
508.21,2023,4,30
508.21,2023,5,1
692.66,2023,5,2
515.71,2023,5,3
513.71,2023,5,4
501.78,2023,5,5
501.78,2023,5,6
501.78,2023,5,7
491.58,2023,5,8
451.77,2023,5,9
451.77,2023,5,10
437.93,2023,5,11
416.93,2023,5,12
416.93,2023,5,13
416.93,2023,5,14
382.29,2023,5,15
366.09,2023,5,16
337.08,2023,5,17
337.08,2023,5,18
304.09,2023,5,19
304.09,2023,5,20
304.09,2023,5,21
234.99,2023,5,22
169.21,2023,5,23
148.41,2023,5,24
132.99,2023,5,25
277.30,2023,5,26
277.30,2023,5,27
277.30,2023,5,28
277.30,2023,5,29
185.87,2023,5,30
954.50,2023,5,31
692.66,2023,6,1
692.66,2023,6,2
692.66,2023,6,3
692.66,2023,6,4
692.66,2023,6,5
687.66,2023,6,6
677.67,2023,6,7
677.67,2023,6,8
599.46,2023,6,9
599.46,2023,6,10
599.46,2023,6,11
583.96,2023,6,12
532.84,2023,6,13
512.66,2023,6,14
501.80,2023,6,15
501.80,2023,6,16
467.80,2023,6,17
467.80,2023,6,18
372.10,2023,6,19
347.35,2023,6,20
287.05,2023,6,21
285.05,2023,6,22
280.65,2023,6,23
280.65,2023,6,24
280.65,2023,6,25
228.64,2023,6,26
210.23,2023,6,27
210.23,2023,6,28
212.05,2023,6,29
170.52,2023,6,30
512.24,2023,7,1
512.24,2023,7,2
516.99,2023,7,3
464.48,2023,7,4
361.21,2023,7,5
359.21,2023,7,6
344.42,2023,7,7
324.42,2023,7,8
324.42,2023,7,9
322.04,2023,7,10
954.30,2023,7,11
1278.32,2023,7,12
1279.29,2023,7,13
722.71,2023,7,14
722.71,2023,7,15
722.71,2023,7,16
284.07,2023,7,17
284.07,2023,7,18
254.07,2023,7,19
254.07,2023,7,20
254.07,2023,7,21
254.07,2023,7,22
254.07,2023,7,23
205.29,2023,7,24
186.13,2023,7,25
162.93,2023,7,26
144.74,2023,7,27
136.85,2023,7,28
136.85,2023,7,29
136.85,2023,7,30
1126.73,2023,7,31
692.66,2023,8,1
589.84,2023,8,2
589.84,2023,8,3
589.84,2023,8,4
589.84,2023,8,5
589.84,2023,8,6
508.58,2023,8,7
495.80,2023,8,8
495.80,2023,8,9
495.80,2023,8,10
495.80,2023,8,11
495.80,2023,8,12
495.80,2023,8,13
495.79,2023,8,14
495.79,2023,8,15
484.40,2023,8,16
484.40,2023,8,17
484.40,2023,8,18
484.40,2023,8,19
484.40,2023,8,20
412.46,2023,8,21
412.46,2023,8,22
292.65,2023,8,23
293.65,2023,8,24
227.45,2023,8,25
727.45,2023,8,26
727.45,2023,8,27
715.07,2023,8,28
378.08,2023,8,29
378.08,2023,8,30
1354.20,2023,8,31
1063.66,2023,9,1
1063.66,2023,9,2
1063.66,2023,9,3
266.82,2023,9,4
439.42,2023,9,5
422.42,2023,9,6
422.42,2023,9,7
392.48,2023,9,8
392.48,2023,9,9
392.48,2023,9,10
397.48,2023,9,11
370.49,2023,9,12
348.49,2023,9,13
348.49,2023,9,14
337.10,2023,9,15
337.10,2023,9,16
337.10,2023,9,17
323.97,2023,9,18
318.97,2023,9,19
1066.44,2023,9,20
123.70,2023,9,21
123.70,2023,9,22
143.70,2023,9,23
100.26,2023,9,24
100.26,2023,9,25
161.36,2023,9,26
116.97,2023,9,27
115.97,2023,9,28
1411.55,2023,9,29
1411.55,2023,9,30
883.20,2023,10,1
751.00,2023,10,2
751.00,2023,10,3
750.00,2023,10,4
635.05,2023,10,5
503.93,2023,10,6
503.93,2023,10,7
503.93,2023,10,8
503.93,2023,10,9
503.93,2023,10,10
498.47,2023,10,11
498.47,2023,10,12
498.47,2023,10,13
498.47,2023,10,14
498.47,2023,10,15
120.10,2023,10,16
82.31,2023,10,17
82.31,2023,10,18
82.31,2023,10,19
82.31,2023,10,20
28.30,2023,10,21
28.30,2023,10,22
214.54,2023,10,23
189.19,2023,10,24
136.20,2023,10,25
136.20,2023,10,26
98.81,2023,10,27
98.81,2023,10,28
98.81,2023,10,29
95.81,2023,10,30
1236.89,2023,10,31
1014.26,2023,11,1
683.67,2023,11,2
677.67,2023,11,3
677.67,2023,11,4
677.67,2023,11,5
677.67,2023,11,6
672.67,2023,11,7
672.67,2023,11,8
672.67,2023,11,9
666.67,2023,11,10
666.67,2023,11,11
666.67,2023,11,12
577.16,2023,11,13
529.30,2023,11,14
467.91,2023,11,15
367.91,2023,11,16
357.92,2023,11,17
357.92,2023,11,18
357.92,2023,11,19
357.92,2023,11,20
357.92,2023,11,21
357.92,2023,11,22
357.92,2023,11,23
357.92,2023,11,24
357.92,2023,11,25
357.92,2023,11,26
357.92,2023,11,27
357.92,2023,11,28
357.92,2023,11,29
357.92,2023,11,30
357.92,2023,12,1
357.92,2023,12,2
357.92,2023,12,3
702.25,2023,12,4
697.25,2023,12,5
697.25,2023,12,6
682.26,2023,12,7
776.26,2023,12,8
776.26,2023,12,9
776.26,2023,12,10
755.99,2023,12,11
755.99,2023,12,12
755.99,2023,12,13
692.99,2023,12,14
655.60,2023,12,15
655.60,2023,12,16
655.60,2023,12,17
474.76,2023,12,18
654.76,2023,12,19
654.76,2023,12,20
654.76,2023,12,21
581.73,2023,12,22
581.73,2023,12,23
581.73,2023,12,24
581.73,2023,12,25
581.73,2023,12,26
556.74,2023,12,27
556.74,2023,12,28
241.26,2023,12,29
241.26,2023,12,30
243.37,2023,12,31
243.37,2024,1,1
